rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
87,hmacdope,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-18 18:44:46+00:00,
88,hmacdope3,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-08 23:35:29+00:00,
89,shedit-OpenADMET,0.76 +/- 0.03,0.34 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-04 20:11:22+00:00,
90,irriok,0.76 +/- 0.03,0.26 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-07 09:29:51+00:00,
91,SimuRaiden,0.77 +/- 0.03,0.31 +/- 0.04,0.62 +/- 0.03,0.46 +/- 0.02,2025-10-30 15:04:34+00:00,
92,pg,0.77 +/- 0.03,0.32 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-11-11 22:25:09+00:00,
93,cc54,0.77 +/- 0.03,0.25 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-27 07:06:49+00:00,
94,OneShot,0.77 +/- 0.03,0.27 +/- 0.06,0.61 +/- 0.03,0.45 +/- 0.02,2025-11-27 00:18:36+00:00,
95,diliadis,0.77 +/- 0.03,0.29 +/- 0.05,0.65 +/- 0.03,0.47 +/- 0.02,2025-11-25 15:44:57+00:00,
96,simple rf baseline,0.78 +/- 0.03,0.33 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-10-31 14:18:48+00:00,
97,hectavalent,0.78 +/- 0.03,0.29 +/- 0.04,0.57 +/- 0.03,0.41 +/- 0.03,2025-12-01 21:52:56+00:00,
98,imikezhu,0.78 +/- 0.03,0.28 +/- 0.05,0.60 +/- 0.03,0.44 +/- 0.02,2025-11-12 00:03:04+00:00,
99,Cuiyaning,0.78 +/- 0.03,0.24 +/- 0.05,0.66 +/- 0.03,0.48 +/- 0.02,2025-11-18 02:53:42+00:00,
100,TERRA,0.78 +/- 0.03,0.27 +/- 0.05,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-09 07:59:07+00:00,
